base_state,0,1,2
_ _ _,0.5697128756415413,0.4412573624374392,0.44509607699808307
1 _ _,0.9862570697912736,0.7645292704035269,0.6864626609104054
_ 2 _,1.3057283248973592,1.1253311446028387,1.040794930239391
1 2 _,1.708616744674099,1.353397060732291,1.1047595355245057
_ _ 3,1.7638740142334808,1.4613629473322431,1.0622557196767675
1 _ 3,2.1549556409329256,1.7930972671005565,1.4050888768549457
_ 2 3,2.4742710361414293,2.0752230487271044,1.4379672483649861
1 2 3,2.769879929744203,2.2725708324636233,1.6576189436591462
