events,change_re
catcher_interf,0.35252097174468267
caught_stealing_2b,-0.24795792207778605
caught_stealing_3b,-0.33172997336484433
caught_stealing_home,-0.4879743789803081
double,0.7470202064082354
double_play,-0.8846594250406428
field_error,0.42969126521265094
field_out,-0.24172235485148064
fielders_choice,0.6842395363999806
fielders_choice_out,-0.648043820108662
force_out,-0.3314369201128632
grounded_into_double_play,-0.7849312719487642
hit_by_pitch,0.34232753049054665
home_run,1.3900800791741414
other_out,-0.34881133206416287
pickoff_1b,-0.3570378520863801
pickoff_2b,-0.4457604378347289
pickoff_3b,-0.4684537945121654
pickoff_caught_stealing_2b,-0.3509688973158571
pickoff_caught_stealing_home,-0.4879743789803081
pickoff_error_3b,0.484508559658673
sac_bunt,-0.07021247596508108
sac_fly,-0.019149199792580195
sac_fly_double_play,-0.5343806072122805
single,0.46199748129169893
stolen_base_2b,-0.35495018268059036
stolen_base_3b,0.1213170338244044
strikeout,-0.26786802689413514
strikeout_double_play,-0.6527605026939817
triple,1.0447402348532147
triple_play,-1.5977898225673046
walk,0.3185972911139564
wild_pitch,0.059579270427069564
