base_state,0,1,2
_ _ _,0.5697821201686442,0.44208636089796,0.4464205668534971
1 _ _,0.9864111841727483,0.7656160175602141,0.6872723575949747
_ 2 _,1.3047212686285152,1.1268362283349054,1.0427753425561077
1 2 _,1.7065103531787442,1.3511226359259583,1.1032707137633948
_ _ 3,1.7597686334850167,1.4590949630115895,1.0590162886186052
1 _ 3,2.164765903351668,1.7941596999828615,1.4020203588318698
_ 2 3,2.4710696186697483,2.0670217149057604,1.4326127629271652
1 2 3,2.7693328331540266,2.2640358670379923,1.6549222599059916
